artist_id,artist_name,artist_genres,artist_followers,artist_popularity
43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,"['alternative rock', 'blues rock', 'indie folk', 'indie rock', 'jam band', 'louisville indie', 'melancholia', 'modern rock', 'new americana', 'rock', 'roots rock', 'stomp and holler']",463732,61
5LuLeXlnT2jFxbx7Cg7j88,Ady Suleiman,"['indie soul', 'uk contemporary r&b']",88667,52
6VeL8VhaMjHTPc5uovFl3h,The Damned,"['alternative rock', 'gothic rock', 'hardcore punk', 'new wave', 'post-punk', 'pub rock', 'punk']",278862,51
451XuvAUIJfZrPOQt2AReP,Colin Firth,['hollywood'],15172,54
0PV9WCEGu2Yu89ArTqR6b6,Peter Skellern,['classic uk pop'],4729,31
0R5dtryP4tKLlMZA0vhBvF,Barón Rojo,"['latin metal', 'rock en espanol', 'spanish metal']",130769,44
42vg2T0Xg9yPaAgogJzoQH,Atlas Genius,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop']",318051,53
2pAajGWerK3ghwToNWFENS,Puscifer,"['alternative metal', 'alternative rock', 'industrial metal', 'industrial rock', 'nu metal']",503029,58
7LuYiSXiWs86rwWJjEEgB9,Mudhoney,"['alternative rock', 'grunge', 'punk', 'rock']",208535,45
5fikk4h5qbEebqK2Fc6e48,En Vogue,"['contemporary r&b', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",1019748,60
35U9lQaRWSQISxQAB94Meo,America,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",1255640,68
32zks9ovi0IExzUd1C7W6o,Steven Tyler,['modern country rock'],74472,48
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",2721411,77
72eP0W3rIhkxd0NHGg4w4u,B*Witched,"['bubblegum dance', 'dance pop', 'europop', 'girl group']",170557,51
195hFqaTDENqLCcG8uGtM7,Freedom Fry,"['folk-pop', 'indie folk', 'shimmer pop', 'stomp and holler']",42282,54
69k6uTSZMPLpSnhmLCiKxQ,Coal Chamber,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'rap metal', 'rap rock']",421310,50
4RddZ3iHvSpGV4dvATac9X,Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']",4162821,75
7wLyGTO9vUS7ndlq4BvBGe,Blake Rose,"['alt z', 'australian electropop', 'electropop', 'pop']",59861,63
3NrGqWwh6dKk99v1UFqQak,The Agonist,"['canadian metal', 'canadian metalcore', 'melodic death metal', 'melodic metalcore', 'quebec death metal', 'slayer']",148917,43
278ZYwGhdK6QTzE3MFePnP,Trivium,"['alternative metal', 'groove metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal']",1277382,67
58eJhHRICp87T2IFcP0bYh,Slush Puppy,['socal indie'],38441,55
5tKXB9uuebKE34yowVaU3C,Iyaz,"['dance pop', 'pop rap', 'post-teen pop']",734105,67
4vZduJO8Uukqzx64de5JxV,Robin Gibb,"['classic uk pop', 'italian disco', 'soft rock']",67251,51
2yqHVMUJy2Wxl7HVsp4Se5,remme,['dutch pop'],7153,53
5oRnbmgqvvq7fVlgk4vcEa,Gary Jules,['neo mellow'],72357,55
5e1BZulIiYWPRm8yogwUYH,Tegan and Sara,"['canadian indie', 'indie pop', 'indie poptimism', 'lilith', 'metropopolis', 'permanent wave', 'pop rock']",564655,61
27Owkm4TGlMqb0BqaEt3PW,Molotov,"['latin alternative', 'latin hip hop', 'latin rock', 'mexican hip hop', 'mexican rock', 'rock en espanol']",1868091,67
5BMgsAFg8rZQc3tqs5BB8G,Mecano,"['latin', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']",1194922,68
5gPEo032lzARtzuVqJIm9o,Bobby Goldsboro,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",98500,49
3OpqU68JpZlzvjAJj3B2Da,Alestorm,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']",500542,60
3Om2xQbLD6af0jmrMryO1w,Saybia,['danish pop rock'],42563,46
5r1bdqzhgRoHC3YcCV6N5a,The Darkness,"['glam metal', 'hard rock', 'rock']",340419,62
5UViluSWA46D6qQcUFmWzT,Catamenia,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic black metal', 'melodic death metal', 'oulu metal', 'viking metal']",16874,28
1nRNvmTyMNGEgtEk7wU9CI,Leaf,['dutch rock'],1368,27
1GAJzApRTMmYZ9EjQ91VOy,The Tokens,"['brill building pop', 'doo-wop', 'sunshine pop']",28474,51
1AgxgADPuRIW1wyaA4OKcB,Tom Rosenthal,['british singer-songwriter'],410548,71
4xRYI6VqpkE3UwrDrAZL8L,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5566654,81
1JTh0nil1C5dIMG83h668n,Anchored by Avarice,[],110,0
5T0MSzX9RC5NA6gAI6irSn,Estelle,"['neo soul', 'r&b']",230548,68
7IAXZaLTb6nkJr8RmVPn5y,ANGRA,"['brazilian metal', 'brazilian power metal', 'brazilian progressive metal', 'latin metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'progressive power metal', 'speed metal', 'symphonic metal']",328464,54
1vVHevk2PD45epYnDi9CCc,Jack Stauber,['pittsburgh indie'],1112355,68
57Wc6hKk68L1KrjdA3Z8cd,The Polar Boys,['miami indie'],25763,46
74Hj7BmnUXyx2udrIEIKwX,Fear Factory,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'metal', 'nu metal', 'rap metal', 'rap rock']",514033,56
0yWq8f9U1lNXWakMwRkleB,MDMA,['vapor trap'],12198,42
2Guif3r6Ys8lL1H5aGyuh1,Will Gittens,[],21249,43
5noIMRg61zRD7KhynZLmFX,Kenny Muney,"['atl trap', 'memphis hip hop']",24214,48
3nzRN4w2nmFk7owsyI6hXI,Judy Boucher,['lovers rock'],14327,36
2dyeCWctcFRt3Pha76ONgb,"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']",1160555,67
3JysSUOyfVs1UQ0UaESheP,Anthrax,"['album rock', 'alternative metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rap metal', 'rock', 'speed metal', 'thrash metal']",1238146,59
5rAaG3OuMuWvPWYji9TDgh,3T,"['boy band', 'contemporary r&b']",73245,43
0dmPX6ovclgOy8WWJaFEUU,Kraftwerk,"['dusseldorf electronic', 'early synthpop', 'electro', 'krautrock', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",598110,57
2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop', 'mellow gold', 'new wave pop', 'rock-and-roll', 'rockabilly', 'soft rock']",279087,66
0OdUWJ0sBjDrqHygGUXeCF,Band of Horses,"['indie folk', 'indie rock', 'modern rock', 'stomp and holler']",908522,64
5BLqpPJJkxoP3M03obHi1K,Coconut & Palm Trees,[],201,37
4ZqBwBVB3dsYWL3d5Spi10,Molly Hatchet,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock', 'soft rock', 'southern rock']",425435,51
7u1mqP3ykglpCB2c1p1p5I,The Partridge Family,['bubblegum pop'],78318,46
1wbW8PchZM0iSKq1V8HsRF,Buckshot LeFonque,['jazz rap'],18568,41
4WquJweZPIK9qcfVFhTKvf,MC5,"['blues rock', 'classic garage rock', 'detroit rock', 'garage rock', 'protopunk', 'pub rock', 'punk', 'punk blues']",146826,42
3dkbV4qihUeMsqN4vBGg93,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",1563767,68
6QvgWa4x3Ij4tvBpFMo11P,Tony Joe White,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'louisiana blues', 'modern blues', 'roots rock', 'swamp blues', 'swamp pop', 'swamp rock']",95090,52
3daM7asS0gCFvyLemNx2EE,The Romantics,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'soft rock', 'synthpop']",282637,58
79mvAIaa8bVyObPdeqs2i3,The Belle Stars,['new wave pop'],8955,38
2BmSS7TcHQpZ4yYUg2ooXL,sir bennett,[],10,34
6tHUDlsCOPUsghoVi5Fgwi,Ease Of Disgust,[],1832,5
4OBJLual30L7gRl5UkeRcT,T.I.,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3975745,77
1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny,"['contemporary country', 'heartland rock']",277210,70
7JQQENqbvCU2R9xeI9G342,Louis Dunford,[],5634,39
3z6Gk257P9jNcZbBXJNX5i,Regina Spektor,"['indie pop', 'lilith', 'piano rock']",1224700,69
3JLUCojZaHrX2LaUkSj7Ud,Pharoah Sanders,"['fourth world', 'free jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'spiritual jazz']",91332,53
5FHwr1FymaS5kutIEK6e2y,King Harvest,['soft rock'],36079,57
